Year,Month,Mean
1998,1,0.24053389999999997
1998,2,0.26107457894736835
1998,3,0.3351799545454546
1998,4,0.38396585714285714
1998,5,0.3751043
1998,6,0.5586648181818181
1998,7,0.985677136363636
1998,8,1.0089534285714288
1998,9,0.7381944285714286
1998,10,0.8824810454545453
1998,11,1.29552085
1998,12,2.1473247727272726
1999,1,3.3709430526315787
1999,2,2.7414474210526314
1999,3,3.359714826086957
1999,4,4.573809619047618
1999,5,3.4089845
1999,6,2.7852275000000004
1999,7,3.0179130000000005
1999,8,2.6404830454545456
1999,9,3.2351190476190474
1999,10,3.9891369047619043
1999,11,3.820424095238095
1999,12,4.6468750000000005
2000,1,3.4264062500000003
2000,2,3.6190234500000003
2000,3,3.324320652173913
2000,4,2.835526315789474
2000,5,2.687429
2000,6,2.2960937727272728
2000,7,1.8434374999999996
2000,8,1.7845788260869562
2000,9,2.0917969000000003
2000,10,1.5208806818181815
2000,11,1.5209449523809524
2000,12,1.0579687500000001
2001,1,0.8860119523809522
2001,2,0.6889802631578947
2001,3,0.5483394999999999
2001,4,0.6684249999999998
2001,5,0.7852272727272728
2001,6,0.7193095238095238
2001,7,0.7378571428571429
2001,8,0.5313913043478261
2001,9,0.37740000000000007
2001,10,0.38117391304347825
2001,11,0.43561904761904763
2001,12,0.563725
2002,1,0.6040238095238095
2002,2,0.6504736842105263
2002,3,0.75665
2002,4,0.725
2002,5,0.902340909090909
2002,6,0.8664250000000001
2002,7,0.7369545454545453
2002,8,0.7231818181818181
2002,9,0.808675
2002,10,0.9108695652173912
2002,11,1.055975
2002,12,1.0974999999999997
2003,1,1.0655714285714286
2003,2,1.0706578947368417
2003,3,1.237904761904762
2003,4,1.3140714285714283
2003,5,1.5883571428571428
2003,6,1.7686904761904758
2003,7,1.9363636363636365
2003,8,2.0977142857142854
2003,9,2.3608809523809517
2003,10,2.7884347826086957
2003,11,2.638526315789474
2003,12,2.570068181818182
2004,1,2.6903750000000004
2004,2,2.284973684210526
2004,3,2.1155000000000004
2004,4,2.3247380952380947
2004,5,2.1481250000000003
2004,6,2.5274047619047617
2004,7,2.3222619047619046
2004,8,1.8983409090909087
2004,9,2.0227142857142852
2004,10,1.9240476190476197
2004,11,1.9100238095238093
2004,12,2.025681818181818
2005,1,2.1102
2005,2,1.8112105263157894
2005,3,1.7264090909090906
2005,4,1.6858333333333335
2005,5,1.7235000000000003
2005,6,1.7604090909090908
2005,7,1.8635750000000002
2005,8,2.2066521739130436
2005,9,2.143023809523809
2005,10,2.186547619047619
2005,11,2.219261904761905
2005,12,2.4411428571428573
2006,1,2.26095
2006,2,1.945763157894737
2006,3,1.8175652173913044
2006,4,1.8170263157894737
2006,5,1.7073409090909089
2006,6,1.7544318181818184
2006,7,1.67655
2006,8,1.3830869565217392
2006,9,1.574275
2006,10,1.6865227272727275
2006,11,2.0128809523809528
2006,12,1.966
2007,1,1.8811499999999999
2007,2,1.9653947368421054
2007,3,1.9303181818181818
2007,4,2.2933499999999998
2007,5,3.2097045454545454
2007,6,3.5230952380952383
2007,7,3.727809523809524
2007,8,3.8429782608695655
2007,9,4.389763157894737
2007,10,4.584956521739131
2007,11,4.153761904761906
2007,12,4.5816
2008,1,4.086380952380952
2008,2,3.644625
2008,3,3.40715
2008,4,3.8323181818181813
2008,5,3.867690476190476
2008,6,4.001619047619047
2008,7,3.61425
2008,8,4.095619047619047
2008,9,3.8280714285714286
2008,10,2.8139782608695656
2008,11,2.236026315789474
2008,12,2.451409090909091
2009,1,2.600675
2009,2,3.1432631578947374
2009,3,3.41775
2009,4,3.9142142857142854
2009,5,3.891825
2009,6,4.159318181818182
2009,7,4.168954545454545
2009,8,4.204476190476191
2009,9,4.3136190476190475
2009,10,5.0475
2009,11,6.38765
2009,12,6.7835
2010,1,6.418078947368421
2010,2,5.909631578947368
2010,3,6.514847826086957
2010,4,7.044857142857143
2010,5,6.389525
2010,6,6.11625
2010,7,5.824476190476189
2010,8,6.284681818181818
2010,9,7.32102380952381
2010,10,8.023357142857142
2010,11,8.414285714285715
2010,12,8.95493181818182
2011,1,9.122049999999998
